18	13	14	7	9	5
16	7	4	2	12	10
17	13	8	8	9	10
20	17	13	9	20	12
13	6	19	9	10	10
6	5	8	6	3	5
16	7	19	9	9	10
12	5	10	4	13	9
7	10	9	7	9	9
6	9	9	3	7	12
13	16	12	6	7	10
7	7	7	4	7	5
10	5	7	2	5	4
5	5	10	4	5	4
8	9	7	2	6	5
17	13	12	5	16	12
9	9	10	6	9	14
12	10	8	5	5	7
16	5	12	12	21	11
20	14	15	10	15	13
20	10	14	13	22	11
7	6	9	8	6	5
2	4	10	5	6	5
17	14	16	9	20	9
12	6	12	6	8	9
14	5	8	7	9	9
11	5	7	4	6	11
7	4	10	4	5	8
14	6	9	8	9	7
9	10	12	6	10	7
20	4	16	9	5	4
14	3	15	8	7	8
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
8	3	16	3	2	3
11	15	13	6	4	12
4	2	8	4	6	10
3	9	11	5	6	8
7	6	2	7	7	2
13	5	17	12	14	4
7	3	18	10	18	2
10	7	13	10	5	8
11	5	16	9	7	8
15	9	14	10	6	12
7	6	8	7	7	5
12	2	10	4	5	10
12	10	17	11	12	12
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
14	4	14	10	22	13
6	8	11	6	7	2
8	9	6	6	12	9
12	8	11	8	4	8
13	12	13	12	24	12
7	6	10	7	8	6
9	9	14	10	20	9
7	9	17	8	14	7
11	6	7	9	8	2
11	10	8	5	4	3
8	6	15	3	4	6
11	7	18	7	8	7
10	7	11	7	5	8
6	8	8	8	4	2
4	7	14	12	7	11
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
12	8	10	6	15	8
12	5	8	7	18	10
15	12	12	8	12	7
11	6	11	9	8	7
16	20	14	8	16	12
17	8	10	9	16	10
13	3	9	7	15	13
7	6	12	5	15	8
8	5	8	7	10	5
11	7	11	7	11	9
9	6	11	8	5	6
16	4	14	8	4	11
8	4	6	6	13	2
6	6	6	5	4	4
9	9	11	8	6	6
3	8	15	6	7	5
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
3	5	8	7	4	9
8	10	14	7	7	6
13	10	10	8	13	10
9	5	11	9	9	6
16	7	8	9	1	3
8	2	11	11	9	4
6	6	10	9	7	4
3	2	10	8	4	6
11	4	11	8	8	5
8	5	12	8	5	5
12	2	8	7	7	4
7	9	7	6	6	10
14	12	11	8	18	13
13	10	10	7	5	9
7	8	11	7	4	5
8	3	7	6	5	6
20	17	12	9	21	14
18	9	10	7	15	12
7	4	10	5	8	0
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
12	7	5	5	6	7
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
17	10	11	8	13	8
20	18	13	10	24	14
5	9	12	3	9	7
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
15	14	9	8	15	7
11	5	9	10	23	14
17	8	9	8	7	1
7	3	16	5	6	10
12	12	11	7	3	6
16	11	9	6	18	6
8	10	9	7	11	5
8	6	8	5	4	2
7	5	11	10	9	8
15	14	15	10	12	2
9	7	8	6	10	13
4	5	10	6	10	1
5	6	10	8	16	10
4	1	8	4	9	3
15	15	14	12	20	14
10	4	10	6	3	6
16	15	12	8	18	12
13	13	9	8	14	12
11	11	11	5	11	7
11	10	11	7	11	4
5	8	12	2	19	5
12	6	11	5	5	5
14	9	13	10	17	6
16	9	12	10	20	9
12	8	12	4	6	9
6	7	12	7	5	8
13	13	14	6	15	9
17	14	12	12	19	9
16	5	15	6	9	1
15	10	14	8	15	4
-99	-99	-99	-99	-99	-99
14	11	12	12	20	8
6	8	12	5	17	7
3	6	11	5	5	9
10	7	10	5	11	8
9	4	14	5	6	9
9	5	14	5	6	9
8	6	14	6	6	8
3	3	3	4	3	1
8	9	9	6	6	6
9	7	10	7	7	4
15	13	13	9	19	13
16	6	11	7	11	9
12	3	7	5	9	5
4	4	9	4	2	0
2	0	11	3	1	2
12	9	14	9	6	7
10	17	15	11	19	13
10	11	15	13	18	12
24	7	12	8	14	9
6	13	11	11	19	10
9	7	9	4	6	1
11	9	11	9	16	7
9	6	10	7	7	7
10	10	17	13	20	14
20	18	15	13	21	12
16	14	15	12	17	11
12	10	17	10	10	11
11	4	8	3	7	3
7	2	8	3	5	3
13	14	14	10	15	10
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
9	9	10	6	9	14
-99	-99	-99	-99	-99	-99
7	6	9	4	6	2
9	7	12	8	15	6
10	11	14	4	5	4
20	15	19	10	19	12
1	1	11	5	4	7
7	12	16	11	10	10
16	17	16	7	16	11
12	4	11	5	8	5
9	6	12	6	10	6
10	8	10	7	7	5
10	9	13	9	5	9
11	6	13	5	7	2
20	16	13	5	9	9
16	11	16	10	15	12
8	3	7	2	8	7
4	2	9	1	13	6
5	7	5	9	6	0
3	3	8	5	3	1
10	8	9	7	8	3
9	4	10	5	7	7
-99	-99	-99	-99	-99	-99
10	11	14	9	16	10
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
-99	-99	-99	-99	-99	-99
